IPS_E3	IPS_E3	IPS_E3	IPS_E4	IPS_E4	IPS_E4
KIAA1147	558	435	432	554	434	413
FLJ40852	3	0	1	5	0	2
WEE2	1	0	0	1	0	1
SSBP1	1191	1011	831	1172	1103	827
TAS2R3	1	0	0	2	1	0
TAS2R4	0	0	0	2	1	3
TAS2R5	2	2	3	2	1	3
PRSS37	0	0	0	0	0	0
OR9A4	0	0	0	0	0	0
CLEC5A	0	0	0	0	0	0
TAS2R38	0	0	0	0	0	0
MGAM	3	0	0	1	3	2
LOC93432	0	0	0	0	0	0
MOXD2P	0	0	0	0	0	0
PRSS58	0	0	0	0	0	0
LOC730441	0	0	0	0	0	0
MTRNR2L6	12	3	2	8	7	1
PRSS1	0	0	1	1	0	0
PRSS3P2	0	0	0	0	0	0
PRSS2	0	0	0	0	0	0
EPHB6	186	128	163	121	95	140
TRPV6	4	2	6	4	3	7
TRPV5	0	0	0	0	0	1
C7orf34	0	0	0	0	0	0
KEL	29	12	27	20	11	32
OR9A2	0	0	0	0	0	0
OR6V1	0	0	0	0	0	0
OR6W1P	0	0	0	0	0	0
PIP	0	0	0	0	0	0
TAS2R39	0	0	0	0	0	0
TAS2R40	0	0	0	0	0	0
GSTK1	180	149	164	207	180	200
TMEM139	21	20	12	8	11	11
CASP2	110	97	115	104	126	112
CLCN1	4	2	3	2	4	0
FAM131B	437	369	468	472	365	461
ZYX	512	571	595	510	602	770
EPHA1	1257	1265	1170	1060	1161	1014
EPHA1-AS1	30	27	11	15	15	12
TAS2R60	0	0	0	0	0	0
TAS2R41	0	0	0	0	0	0
CTAGE15P	0	0	0	1	0	0
FAM115C	3	4	0	1	5	1
CTAGE6P	0	0	0	0	0	0
LOC154761	0	0	0	0	0	0
FAM115A	309	217	225	275	291	211
OR2F2	0	0	0	0	0	0
OR2F1	0	0	0	0	0	0
OR6B1	0	0	0	0	0	0
OR2A5	0	0	0	0	0	0
OR2A25	0	0	0	0	0	0
OR2A12	0	0	0	0	0	0
OR2A2	0	0	0	0	0	0
OR2A14	0	0	0	0	0	0
CTAGE4	0	0	0	0	0	0
ARHGEF35	4	5	2	2	2	3
RNU6-57	0	0	0	0	0	0
OR2A42	0	0	0	0	0	0
OR2A1	0	0	0	0	0	0
OR2A9P	0	0	0	0	0	0
OR2A20P	0	0	0	0	0	1
OR2A7	0	0	0	0	0	3
LOC728377	11	9	5	6	5	5
ARHGEF5	39	52	35	26	40	43
NOBOX	0	0	0	0	0	0
TPK1	28	20	12	26	25	14
CNTNAP2	1172	711	905	1092	714	892
MIR548AQ	0	0	0	0	0	0
MIR548I4	0	0	0	0	0	0
MIR548F4	0	0	0	0	0	0
MIR548F3	0	0	0	0	0	0
MIR548T	0	0	0	0	0	0
C7orf33	0	0	0	0	0	0
CUL1	1044	843	683	1009	892	748
EZH2	319	355	124	274	316	168
PDIA4	3334	3311	2577	3398	3602	2694
ZNF786	95	85	107	124	106	139
ZNF425	120	66	108	72	51	80
ZNF398	1043	889	816	860	739	833
ZNF282	481	426	421	429	457	425
ZNF212	147	144	151	141	138	129
ZNF783	98	86	66	99	71	93
LOC155060	81	48	57	68	57	51
ZNF777	135	99	130	144	111	119
ZNF746	241	218	222	231	224	266
ZNF767	44	33	21	47	33	37
KRBA1	109	94	91	94	126	123
ZNF467	5	1	3	5	4	10
SSPO	4	3	6	9	1	7
ZNF862	59	28	45	60	39	42
ATP6V0E2-AS1	9	16	8	7	3	12
ATP6V0E2	203	288	159	192	273	197
ACTR3C	1	2	1	2	1	4
LRRC61	321	387	313	294	399	271
C7orf29	70	100	56	62	88	47
RARRES2	315	281	388	275	247	285
RNU6-34	0	0	0	0	0	0
RNU6-33	0	0	0	0	0	0
REPIN1	608	670	634	548	650	625
ZNF775	213	192	215	185	184	173
LOC728743	125	104	162	120	96	110
LOC285972	0	0	0	0	0	0
GIMAP8	0	0	0	0	1	0
GIMAP7	0	0	0	0	0	0
GIMAP4	1	3	2	2	1	0
GIMAP6	0	0	0	0	0	0
GIMAP2	0	0	0	0	0	0
GIMAP1-GIMAP5	0	0	0	0	0	0
GIMAP1	1	0	0	1	0	0
GIMAP5	0	0	0	0	0	0
TMEM176B	2	6	4	8	2	5
TMEM176A	2	4	1	2	2	4
ABP1	0	0	2	0	0	2
KCNH2	181	107	183	133	91	142
NOS3	47	33	76	60	80	68
ATG9B	11	8	8	14	10	6
ABCB8	120	113	115	139	172	139
ASIC3	6	7	4	14	5	10
CDK5	117	107	54	118	114	63
SLC4A2	598	686	452	534	655	512
FASTK	289	308	274	275	329	244
TMUB1	167	202	137	145	201	126
AGAP3	349	379	299	303	388	345
GBX1	0	2	2	1	3	0
ASB10	0	0	0	3	0	0
ABCF2	441	514	384	446	557	494
CHPF2	150	172	174	151	218	220
MIR671	0	0	0	0	0	0
SMARCD3	33	22	30	57	34	53
NUB1	361	299	313	412	374	347
WDR86	57	34	33	33	35	26
WDR86-AS1	6	5	3	4	2	3
CRYGN	3	0	4	1	3	3
MIR3907	0	0	0	0	1	0
RHEB	502	379	315	459	383	328
PRKAG2	172	142	102	171	150	103
PRKAG2-AS1	5	2	3	2	3	5
GALNTL5	3	2	2	2	2	2
GALNT11	462	368	427	667	526	592
MLL3	911	527	471	757	513	509
FABP5P3	0	0	0	1	0	0
LOC100128822	8	7	5	16	10	12
XRCC2	230	213	128	197	223	183
ACTR3B	139	83	97	138	119	82
DPP6	0	0	0	0	0	0
LOC100132707	1	1	0	3	1	1
PAXIP1	256	287	245	282	360	254
LOC202781	54	46	43	58	78	43
LOC100128264	0	0	0	0	0	0
HTR5A	0	1	0	0	1	0
INSIG1	716	909	314	676	907	340
EN2	0	0	0	0	0	0
CNPY1	1	0	2	0	0	0
RBM33	521	376	332	469	427	368
SHH	0	0	0	0	0	0
LOC285889	0	0	1	2	1	0
LINC00244	0	0	0	0	0	0
C7orf13	37	40	23	53	23	17
RNF32	10	4	7	10	1	8
LMBR1	660	479	398	607	531	478
NOM1	303	225	243	234	249	226
MNX1	2	1	0	0	1	0
LOC645249	0	4	0	0	1	0
UBE3C	967	853	823	992	985	939
DNAJB6	2389	2052	1389	1941	1910	1198
PTPRN2	27	10	24	10	6	6
MIR153-2	0	0	0	0	0	0
LOC100506585	0	0	0	0	0	0
MIR595	0	0	0	0	0	0
MIR5707	0	0	0	0	0	0
NCAPG2	1630	989	1206	1492	1008	965
ESYT2	2541	1088	1950	2787	1439	1948
WDR60	312	170	178	301	206	216
LINC00689	0	0	0	0	0	1
VIPR2	86	34	105	98	35	99
LOC389831	0	0	0	0	0	0
OR4F21	0	0	0	0	0	0
RPL23AP53	2	0	0	2	0	2
ZNF596	1	0	0	0	0	0
FBXO25	32	28	29	44	52	36
C8orf42	750	580	539	690	588	508
ERICH1	140	95	80	145	114	124
ERICH1-AS1	1	0	0	0	0	0
LOC286083	0	0	0	0	0	0
DLGAP2	14	9	16	26	14	22
CLN8	360	290	296	354	302	252
MIR596	0	0	0	0	0	0
ARHGEF10	559	482	460	527	446	487
KBTBD11	205	134	149	217	190	153
MYOM2	1	0	1	0	1	0
CSMD1	1	3	6	5	6	5
LOC100287015	60	75	36	65	80	44
MCPH1	352	249	259	354	318	265
ANGPT2	0	0	0	0	0	0
AGPAT5	1962	1518	1040	1932	1784	1042
MIR4659A	0	0	0	0	0	0
MIR4659B	0	0	0	0	0	0
XKR5	63	45	58	77	63	71
LOC100652791	4	0	1	2	1	2
DEFB1	0	0	0	0	0	0
DEFA6	0	1	0	0	1	0
DEFA4	0	0	0	0	0	0
DEFA8P	0	0	0	0	0	0
DEFA9P	0	0	0	0	0	0
DEFA10P	0	0	0	0	0	0
DEFA1	0	0	0	0	0	0
DEFA1B	0	0	0	0	0	0
DEFT1P	0	0	0	0	0	0
DEFT1P2	0	0	0	0	0	0
DEFA3	0	0	0	0	0	0
DEFA11P	0	0	0	0	0	0
DEFA5	0	0	0	0	0	0
LOC349196	0	0	0	0	0	0
FAM66B	2	2	0	3	1	1
DEFB109P1B	0	0	0	0	0	0
USP17L1P	0	0	0	0	0	0
USP17L4	0	0	0	0	0	0
ZNF705G	0	0	0	0	0	0
DEFB4B	0	0	0	0	0	0
DEFB103B	0	0	0	0	0	0
DEFB103A	0	0	0	0	0	0
SPAG11B	0	0	0	0	0	0
DEFB104B	0	0	0	0	0	0
DEFB104A	0	0	0	0	0	0
DEFB106A	0	0	0	0	0	0
DEFB106B	0	0	0	0	0	0
DEFB105A	0	0	0	0	0	0
DEFB105B	0	0	0	0	0	0
DEFB107B	0	0	0	0	0	0
DEFB107A	0	0	0	0	0	0
FAM90A7P	0	0	0	0	0	0
FAM90A10P	0	0	0	0	0	0
SPAG11A	0	0	0	0	0	0
DEFB4A	0	0	0	0	0	0
ZNF705B	0	0	0	0	0	0
FAM66E	0	0	0	1	0	0
USP17L8	0	0	0	0	0	0
USP17L3	0	0	0	0	0	0
MIR548I3	0	0	0	0	0	0
FAM86B3P	19	17	19	8	26	12
SGK223	466	431	414	398	353	326
CLDN23	44	45	46	43	49	47
MFHAS1	1185	923	1071	1009	1044	977
ERI1	336	250	255	371	292	304
MIR4660	0	0	0	0	0	0
PPP1R3B	671	486	693	975	752	1080
LOC157273	0	0	0	0	0	1
TNKS	1505	1055	824	1150	1085	723
MIR597	0	0	1	1	0	0
LINC00599	457	246	266	338	163	152
MIR124-1	1	2	1	1	0	0
MSRA	52	28	35	43	27	45
PRSS55	0	0	0	0	0	0
RP1L1	4	7	4	3	5	4
C8orf74	0	0	0	0	0	0
SOX7	6	16	10	1	6	1
PINX1	195	189	142	179	190	152
MIR1322	0	0	0	0	0	0
XKR6	39	26	34	32	41	26
MIR598	0	1	1	0	0	0
MTMR9	518	443	331	504	407	361
SLC35G5	0	0	0	1	0	0
TDH	1	4	1	3	1	0
C8orf12	0	0	0	0	0	0
FAM167A	20	16	32	31	16	42
BLK	0	0	0	1	0	0
LINC00208	0	0	0	0	0	0
GATA4	1	0	0	0	0	0
NEIL2	263	221	153	224	265	169
FDFT1	3500	4729	1907	3484	4637	1659
CTSB	357	262	413	439	400	1055
DEFB136	0	0	0	0	0	0
DEFB135	0	0	0	0	0	0
DEFB134	0	0	0	0	0	0
DEFB130	0	0	0	0	0	0
LOC100133267	0	0	0	0	0	0
ZNF705D	0	0	0	0	0	0
FAM66D	6	7	3	11	6	6
LOC392196	0	0	0	0	0	0
USP17L7	0	0	0	0	0	1
USP17L2	0	0	0	0	0	0
FAM90A2P	0	0	0	0	0	0
FAM86B1	12	6	18	12	4	11
FAM66A	0	2	0	0	1	1
LOC649352	0	0	0	0	0	0
DEFB109P1	0	0	0	0	0	0
FAM90A25P	0	0	1	1	0	1
FAM86B2	0	0	1	1	0	2
LOC100506990	68	47	39	59	45	44
LOC729732	22	19	19	21	21	13
LONRF1	743	600	479	741	653	460
MIR3926-1	0	0	0	0	0	0
MIR3926-2	0	0	0	0	0	0
LOC340357	0	0	0	0	0	0
KIAA1456	5	8	1	4	7	0
DLC1	47	48	41	39	36	117
C8orf48	9	3	8	8	9	9
SGCZ	0	0	0	0	0	0
MIR383	0	0	0	0	0	0
TUSC3	805	644	455	790	740	513
MSR1	0	0	0	1	0	3
FGF20	1	0	0	0	1	1
EFHA2	74	50	45	81	51	49
ZDHHC2	498	330	233	531	351	254
CNOT7	1641	1135	886	1572	1206	882
VPS37A	439	323	331	414	307	340
MTMR7	165	109	108	200	138	125
SLC7A2	775	655	406	532	517	333
PDGFRL	32	28	12	33	26	23
MTUS1	81	52	44	66	50	42
FGL1	0	0	0	0	0	0
PCM1	2599	1935	1436	2146	1959	1440
ASAH1	589	465	436	574	429	455
NAT1	44	38	34	35	49	26
NAT2	5	10	6	10	9	6
PSD3	524	370	313	456	374	298
LOC100128993	0	0	0	0	0	0
SH2D4A	40	40	19	40	49	25
CSGALNACT1	1	1	2	0	1	1
INTS10	600	522	393	609	606	412
LPL	104	127	32	93	121	24
SLC18A1	0	0	0	0	0	0
ATP6V1B2	758	600	581	744	649	562
LZTS1	111	105	82	97	111	121
LZTS1-AS1	0	0	0	0	0	0
LOC286114	0	0	0	0	0	0
GFRA2	19	14	8	17	12	3
DOK2	1	0	1	1	0	0
XPO7	1220	1094	926	1093	1149	938
NPM2	7	10	9	7	17	6
FGF17	3	1	0	2	2	0
EPB49	14	8	2	13	14	6
FAM160B2	101	89	86	109	128	99
NUDT18	64	48	35	41	47	33
HR	4	1	0	1	3	1
REEP4	158	172	154	190	187	175
LGI3	0	0	0	0	0	0
SFTPC	0	0	0	0	0	0
BMP1	74	80	67	76	85	140
PHYHIP	118	159	78	98	144	57
MIR320A	0	0	0	0	0	0
POLR3D	446	518	351	431	526	328
PIWIL2	3	3	6	0	2	0
SLC39A14	1585	2673	1080	1574	2589	1121
PPP3CC	56	38	30	80	45	52
SORBS3	338	297	262	377	338	317
PDLIM2	305	284	193	282	326	196
C8orf58	299	275	150	274	299	156
KIAA1967	1266	1388	1143	1251	1640	1110
BIN3	133	127	102	138	140	117
FLJ14107	2	2	2	1	2	1
EGR3	2	1	16	5	0	15
PEBP4	4	1	0	0	0	0
RHOBTB2	120	122	102	99	136	103
TNFRSF10B	1178	1139	956	1277	1449	1172
LOC286059	23	15	12	19	10	13
LOC254896	5	4	1	5	1	8
TNFRSF10C	18	20	25	28	28	34
TNFRSF10D	272	274	203	275	389	438
TNFRSF10A	79	113	72	86	139	74
LOC389641	22	34	7	27	26	16
CHMP7	564	559	467	602	667	456
R3HCC1	173	197	158	205	223	166
LOXL2	486	419	406	458	424	497
LOC100507156	0	0	1	1	0	0
ENTPD4	432	261	345	518	355	423
SLC25A37	160	150	110	124	150	117
NKX3-1	19	42	19	19	39	26
NKX2-6	0	2	1	0	0	0
STC1	1118	1055	311	786	1025	246
ADAM28	3	4	3	1	2	0
ADAMDEC1	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
NEFM	76	99	47	68	74	28
NEFL	782	494	343	804	608	319
DOCK5	181	123	115	147	103	101
GNRH1	7	9	2	10	7	2
KCTD9	98	69	76	83	72	64
CDCA2	786	571	657	782	703	652
EBF2	0	0	0	1	0	9
PPP2R2A	545	462	385	573	472	406
BNIP3L	2526	1639	1290	2429	1919	1259
PNMA2	95	97	42	45	63	15
DPYSL2	4155	3550	2650	3477	3556	2495
ADRA1A	1	2	1	4	0	1
STMN4	0	0	0	1	0	1
TRIM35	198	242	227	179	226	244
PTK2B	36	33	42	44	37	48
CHRNA2	1	0	1	0	0	1
EPHX2	163	115	141	169	117	155
CLU	3674	2739	4119	3671	2436	3320
SCARA3	106	83	97	98	85	102
MIR3622B	0	0	0	0	0	0
MIR3622A	0	0	0	0	0	0
CCDC25	613	427	508	670	498	520
ESCO2	287	253	174	287	232	174
PBK	159	83	107	165	108	109
SCARA5	3	5	8	2	2	4
MIR4287	0	0	0	0	0	0
NUGGC	0	0	0	0	0	0
ELP3	598	419	452	651	455	446
PNOC	0	0	0	0	0	0
ZNF395	1171	972	568	991	1025	542
FBXO16	73	53	46	65	57	38
FZD3	1522	980	768	1373	1034	787
MIR4288	0	0	0	0	0	0
EXTL3	1254	1203	1158	1156	1307	1103
INTS9	182	172	150	194	191	151
HMBOX1	110	73	50	87	63	61
KIF13B	271	202	177	223	204	184
DUSP4	110	116	52	89	160	91
LINC00589	0	0	0	0	0	0
LOC286135	0	0	0	0	0	0
MIR3148	0	0	0	0	0	0
MIR548O2	0	0	0	0	0	0
TMEM66	1373	958	806	1388	1017	827
LEPROTL1	472	360	328	476	364	332
MBOAT4	0	1	0	0	0	1
DCTN6	310	189	178	321	251	207
LOC100128750	2	4	2	6	1	1
RBPMS	491	437	410	432	456	340
GTF2E2	416	298	251	375	354	242
SMIM18	0	0	0	0	0	0
GSR	1244	1300	838	1181	1394	910
UBXN8	70	53	44	74	55	43
PPP2CB	606	527	487	677	623	538
TEX15	187	155	53	139	130	58
PURG	63	53	43	69	41	48
WRN	482	441	278	407	419	335
NRG1	31	22	13	24	20	20
NRG1-IT3	0	0	0	0	0	0
FUT10	347	250	225	313	224	224
MAK16	486	506	301	493	508	404
TTI2	210	182	159	218	216	166
RNF122	156	149	149	171	143	129
DUSP26	18	11	10	11	11	4
UNC5D	832	782	336	616	666	256
KCNU1	0	0	0	0	0	0
ZNF703	0	1	1	1	3	3
ERLIN2	993	774	748	1052	873	770
LOC728024	0	5	8	4	2	2
PROSC	256	221	162	246	226	204
GPR124	50	57	40	39	41	57
BRF2	160	139	132	146	160	116
RAB11FIP1	779	661	612	629	610	513
GOT1L1	0	0	0	0	0	0
ADRB3	0	3	1	1	2	0
EIF4EBP1	484	768	412	403	736	390
ASH2L	717	497	622	694	467	473
STAR	29	27	11	18	24	7
LSM1	265	200	235	261	282	219
BAG4	1049	718	760	1145	800	681
DDHD2	205	136	189	260	212	265
PPAPDC1B	223	161	213	294	159	191
WHSC1L1	648	468	353	549	508	413
LETM2	6	4	5	13	8	7
FGFR1	5065	4091	4670	4890	4695	4551
C8orf86	1	0	0	0	1	1
TACC1	154	110	137	146	97	179
PLEKHA2	126	97	50	97	77	53
HTRA4	0	0	1	0	1	0
TM2D2	297	236	252	297	243	237
ADAM9	259	192	174	271	200	436
ADAM32	1	1	2	3	0	0
ADAM5	0	0	0	0	0	0
ADAM3A	0	0	0	0	0	0
LOC100130964	0	0	0	0	0	0
ADAM18	0	0	0	0	0	0
ADAM2	0	0	1	1	1	1
IDO1	1128	698	648	962	584	420
IDO2	0	1	1	0	0	0
C8orf4	0	0	0	0	1	0
ZMAT4	257	183	147	213	169	100
SFRP1	10384	7025	8203	10591	7431	7313
GOLGA7	437	379	339	450	381	348
GINS4	396	393	308	374	383	314
AGPAT6	578	495	524	577	581	523
NKX6-3	0	0	0	0	0	0
ANK1	137	137	117	140	169	144
MIR486	0	0	0	0	0	0
KAT6A	715	457	633	668	550	599
AP3M2	259	181	143	249	223	188
PLAT	21	39	19	14	32	406
IKBKB	201	193	158	230	183	192
POLB	304	239	199	330	273	207
DKK4	0	0	0	0	0	0
VDAC3	932	868	597	1058	985	695
SLC20A2	224	235	202	198	223	205
C8orf40	322	192	209	334	242	215
CHRNB3	0	0	1	0	0	0
CHRNA6	0	1	0	1	2	1
THAP1	173	181	84	210	161	103
RNF170	315	155	209	394	191	246
MIR4469	0	0	0	0	0	0
HOOK3	408	192	229	407	210	302
FNTA	553	321	341	553	348	352
SGK196	205	161	154	208	180	185
HGSNAT	42	32	24	60	56	77
POTEA	0	0	0	0	0	0
LINC00293	0	0	0	0	0	0
LOC100287846	0	0	0	0	0	1
KIAA0146	456	427	339	602	514	385
CEBPD	8	5	15	15	19	19
PRKDC	7420	5525	4172	6128	5605	4613
MCM4	3153	3449	2424	3060	3752	2489
UBE2V2	829	524	477	822	689	456
EFCAB1	1	0	0	0	0	2
SNAI2	5	8	3	5	8	66
C8orf22	0	0	0	0	0	0
SNTG1	2	0	3	0	1	0
PXDNL	82	61	47	84	72	59
PCMTD1	589	343	261	552	364	275
ST18	0	1	0	0	0	1
FAM150A	6	4	3	3	4	1
RB1CC1	1638	1074	981	1496	1245	1012
NPBWR1	0	0	0	1	1	0
OPRK1	7	9	3	17	14	6
ATP6V1H	456	326	402	541	462	438
RGS20	4	3	4	10	5	11
TCEA1	988	632	706	1204	688	743
LYPLA1	1507	1132	1055	1899	1456	1193
MRPL15	445	365	361	580	412	392
SOX17	0	0	0	0	0	0
RP1	0	0	0	0	0	0
XKR4	16	12	12	17	9	11
SBF1P1	0	0	0	0	0	0
TMEM68	239	138	167	324	216	167
TGS1	718	581	603	610	623	641
LYN	590	562	342	490	660	333
RPS20	5232	4039	3782	5175	4357	3578
SNORD54	3	9	5	13	10	9
MOS	0	0	0	0	0	0
PLAG1	418	174	253	423	242	277
CHCHD7	279	244	229	302	240	217
SDR16C5	1	1	3	2	1	1
PENK	1	5	1	1	1	0
LOC100507632	0	0	0	0	0	0
IMPAD1	1158	967	562	1070	1097	720
LOC100507651	0	0	1	0	0	0
LOC286177	0	0	0	0	0	0
LINC00588	0	0	0	0	0	0
FAM110B	32	40	32	37	40	39
UBXN2B	534	429	283	510	421	348
CYP7A1	0	0	0	0	0	0
SDCBP	845	517	458	906	718	612
NSMAF	420	330	305	441	337	301
TOX	334	249	212	304	224	182
CA8	97	69	36	67	82	35
RAB2A	771	563	603	787	610	647
CHD7	2038	1493	1455	1992	1867	1614
LOC100130298	0	0	0	0	0	0
CLVS1	9	1	2	1	1	1
ASPH	1223	959	772	1319	1033	1054
MIR4470	0	0	0	0	0	0
NKAIN3	0	0	1	3	2	1
UG0898H09	9	4	6	10	4	4
GGH	173	204	80	198	202	99
TTPA	0	3	2	2	5	2
YTHDF3	1136	923	784	1162	875	851
LOC286184	0	1	0	0	0	0
LOC100130155	12	10	10	10	5	8
MIR124-2	0	0	0	0	0	1
LOC401463	0	0	0	0	0	0
BHLHE22	0	0	0	0	0	0
CYP7B1	9	2	2	2	1	2
LINC00251	0	0	0	0	0	0
LOC286186	0	0	0	0	0	0
ARMC1	781	523	438	845	582	427
MTFR1	451	404	322	572	467	314
PDE7A	1037	799	687	1005	807	652
DNAJC5B	0	0	0	0	0	0
TRIM55	1	0	0	0	1	2
CRH	0	1	1	0	1	3
LOC100505659	0	0	0	0	0	0
LOC100505676	0	0	0	1	0	0
RRS1	198	190	195	144	234	200
ADHFE1	14	4	10	13	13	11
C8orf46	0	1	0	1	2	0
MYBL1	120	60	43	97	80	59
VCPIP1	473	303	308	412	296	280
C8orf44	24	18	14	16	17	9
C8orf44-SGK3	0	0	0	0	0	0
SGK3	0	2	0	0	0	3
PTTG3P	0	0	0	2	0	0
MCMDC2	8	7	4	7	6	3
SNHG6	745	503	453	785	565	418
SNORD87	11	9	7	7	8	7
TCF24	29	22	9	17	22	3
PPP1R42	2	0	0	0	0	0
COPS5	532	467	332	563	512	370
CSPP1	198	143	119	186	138	147
ARFGEF1	2299	1538	1200	1810	1421	992
CPA6	1	0	0	0	0	0
PREX2	447	303	214	303	246	123
LOC286189	5	9	6	7	8	2
C8orf34	11	8	4	12	8	0
LOC100505718	0	0	0	0	0	0
SULF1	83	74	28	45	61	38
SLCO5A1	47	40	22	36	37	25
PRDM14	387	396	205	346	444	232
NCOA2	569	451	379	523	464	376
TRAM1	1582	1180	1075	1635	1324	1085
LOC286190	0	0	0	1	0	0
LACTB2	194	142	127	214	144	121
XKR9	11	3	5	12	5	9
EYA1	38	26	18	48	31	15
MSC	16	19	8	17	15	7
LOC100132891	8	7	2	8	2	2
TRPA1	13	6	3	11	7	5
LOC392232	1	0	1	1	0	0
KCNB2	12	15	3	8	16	2
TERF1	2840	2027	1770	2314	1681	1237
SBSPON	9	6	8	10	6	15
LOC100130301	1	0	1	0	0	0
RPL7	7	7	7	10	9	6
RDH10	77	72	51	56	74	59
STAU2-AS1	0	0	0	0	0	0
STAU2	868	597	503	923	757	513
UBE2W	517	340	365	560	326	358
TCEB1	305	304	226	400	395	284
TMEM70	136	144	112	169	161	143
LY96	0	1	0	0	0	0
JPH1	106	124	68	89	90	68
GDAP1	262	293	101	197	326	87
MIR5681A	0	0	0	0	0	0
MIR5681B	0	0	0	0	0	0
FLJ39080	9	1	3	3	3	5
MIR2052	0	0	0	0	0	0
PI15	39	12	27	56	22	39
CRISPLD1	307	319	194	267	262	196
HNF4G	14	10	8	17	15	14
ZFHX4-AS1	0	0	0	0	0	0
ZFHX4	22	10	11	14	7	23
PEX2	338	192	241	386	248	228
PKIA	226	175	139	203	195	120
ZC2HC1A	80	67	55	98	72	59
IL7	0	0	0	1	1	1
STMN2	46	26	13	45	21	113
HEY1	9	4	5	11	10	8
MRPS28	358	277	203	351	331	248
TPD52	1020	600	449	893	634	434
MIR5708	0	0	0	0	0	0
ZBTB10	591	320	341	589	304	406
ZNF704	98	69	55	113	70	72
PAG1	3	8	2	8	3	14
FABP5	0	3	1	2	2	0
PMP2	0	0	0	0	0	0
FABP9	0	0	0	0	0	0
FABP4	0	0	0	0	0	0
FABP12	0	0	0	0	0	0
IMPA1	376	262	224	408	319	253
SLC10A5	1	1	0	0	1	0
ZFAND1	348	234	246	414	245	233
CHMP4C	32	20	17	38	38	27
SNX16	132	60	59	151	97	73
RALYL	6	7	2	3	1	1
LRRCC1	217	144	117	224	170	128
E2F5	469	424	252	574	484	365
C8orf59	452	302	223	508	327	238
CA13	17	18	4	15	20	8
CA1	0	0	0	0	0	0
CA3	70	60	37	84	91	56
CA2	54	54	34	48	43	32
REXO1L2P	0	0	0	0	0	0
REXO1L1	0	0	0	0	0	0
PSKH2	3	1	1	4	1	2
ATP6V0D2	0	0	0	0	0	0
SLC7A13	0	0	0	0	0	0
WWP1	261	183	217	307	222	264
RMDN1	333	233	238	377	281	260
CPNE3	1105	819	583	1290	930	753
CNGB3	0	0	0	0	0	0
CNBD1	0	0	0	0	0	0
DCAF4L2	0	0	0	0	0	0
MMP16	847	542	304	571	537	221
RIPK2	237	193	138	213	207	128
OSGIN2	265	179	215	316	203	250
NBN	736	485	421	716	563	492
DECR1	250	185	140	221	167	134
CALB1	147	231	66	133	150	45
LINC00534	0	0	0	0	0	0
TMEM64	2295	788	1718	3040	1000	2045
NECAB1	335	145	181	349	246	197
LOC100127983	290	172	163	341	235	195
TMEM55A	512	368	336	507	432	312
OTUD6B	352	314	224	365	331	197
LRRC69	6	6	6	3	2	1
MIR4661	0	0	0	0	0	0
SLC26A7	3	1	5	8	3	4
RUNX1T1	132	112	72	116	99	58
FLJ46284	0	0	0	0	0	0
TRIQK	562	305	295	585	300	269
C8orf87	0	0	0	0	0	0
LINC00535	1	0	0	0	0	0
FAM92A1	142	114	116	172	145	109
RBM12B	746	487	484	692	482	540
RBM12B-AS1	0	0	2	0	0	0
TMEM67	149	114	113	187	97	116
MIR378D2	1	1	1	0	1	2
PDP1	304	275	253	300	285	287
CDH17	3	2	3	3	0	5
GEM	101	80	65	95	92	71
RAD54B	376	359	221	368	352	217
FSBP	0	0	0	0	0	0
KIAA1429	806	643	491	741	746	515
LOC100288748	32	14	12	29	12	8
ESRP1	2637	1722	1600	2366	1901	1444
DPY19L4	331	183	196	396	180	231
INTS8	1010	753	508	959	858	592
CCNE2	36	27	22	50	23	28
TP53INP1	415	204	305	401	288	276
NDUFAF6	60	68	36	56	57	50
MIR3150B	0	0	0	0	0	0
MIR3150A	0	0	0	0	0	0
PLEKHF2	206	147	109	202	152	113
C8orf69	0	0	0	0	0	0
C8orf37	47	45	28	37	35	29
LOC100616530	1	0	0	1	0	0
LOC100500773	0	0	0	0	0	0
GDF6	5	2	1	3	2	14
UQCRB	1356	998	753	1395	1064	820
MTERFD1	265	211	151	275	268	174
PTDSS1	830	957	578	797	1077	658
SDC2	990	864	597	836	727	496
CPQ	20	12	13	21	15	21
TSPYL5	183	184	200	186	143	164
MTDH	864	719	598	885	807	610
LAPTM4B	5425	4367	3803	5121	4037	2914
MATN2	97	81	72	88	67	73
RPL30	7173	5908	5423	7726	6204	5140
SNORA72	5	4	10	7	5	1
C8orf47	16	13	10	21	10	8
HRSP12	284	215	154	331	233	200
POP1	164	158	150	176	178	174
NIPAL2	9	10	7	18	16	13
KCNS2	0	0	0	0	0	0
STK3	262	182	169	294	227	176
OSR2	0	2	0	0	0	0
VPS13B	350	212	205	312	259	219
MIR599	0	0	0	0	0	0
MIR875	0	0	0	0	0	0
COX6C	913	680	546	938	722	571
RGS22	1	1	3	1	0	3
FBXO43	24	20	9	27	15	23
POLR2K	439	307	283	442	385	296
SPAG1	18	25	21	24	22	31
RNF19A	408	270	247	359	317	250
MIR4471	0	0	0	0	0	0
ANKRD46	346	228	238	444	272	241
SNX31	5	1	1	2	1	4
PABPC1	4620	3509	3518	4353	3662	3507
YWHAZ	2389	1965	1891	2692	2169	1919
FLJ42969	0	0	0	0	0	0
